N_of_Goal,Date,Home_team,Away_team,Minute,What,How,Jersey,Competition_abb,Competition_name,Goals_H,Goals_A,Result,Leo_age,Leo_team,Scored_team,Home_or_Away,Leo_result,Partial_Score_H,Partial_Score_A,Minute_adjusted,Goal_time_period
822,2024-02-25,Los Angeles Galaxy,Inter Miami CF,90+2,Field goal,Left foot,10,PRM,Major League Soccer,1,1,Draw,36,Inter Miami CF,Los Angeles Galaxy,Away,Tied,1,1,92,Additional time
821,2023-10-17,Peru,Argentina,42,Field goal,Left foot,10,WCQ,World Cup 2026 Qualification,0,2,Away,36,Argentina,Peru,Away,Won,0,2,42,First half
820,2023-10-17,Peru,Argentina,32,Field goal,Left foot,10,WCQ,World Cup 2026 Qualification,0,2,Away,36,Argentina,Peru,Away,Won,0,1,32,First half
819,2023-09-07,Argentina,Ecuador,78,Free kick,Left foot,10,WCQ,World Cup 2026 Qualification,1,0,Home,36,Argentina,Ecuador,Home,Won,1,0,78,Second half
818,2023-08-26,New York Red Bulls,Inter Miami CF,89,Field goal,Left foot,10,PRM,Major League Soccer,0,2,Away,36,Inter Miami CF,New York Red Bulls,Away,Won,0,2,89,Second half
817,2023-08-20,Nashville SC,Inter Miami CF,23,Field goal,Left foot,10,NAM,Leagues Cup,1,1,Draw,36,Inter Miami CF,Nashville SC,Away,Tied,0,1,23,First half
816,2023-08-15,Philadelphia Union,Inter Miami CF,20,Field goal,Left foot,10,NAM,Leagues Cup,1,4,Away,36,Inter Miami CF,Philadelphia Union,Away,Won,0,2,20,First half
815,2023-08-11,Inter Miami CF,Charlotte,86,Field goal,Left foot,10,NAM,Leagues Cup,4,0,Home,36,Inter Miami CF,Charlotte,Home,Won,4,0,86,Second half
814,2023-08-06,FC Dallas,Inter Miami CF,85,Free kick,Left foot,10,NAM,Leagues Cup,4,4,Draw,36,Inter Miami CF,FC Dallas,Away,Tied,4,4,85,Second half
813,2023-08-06,FC Dallas,Inter Miami CF,6,Field goal,Left foot,10,NAM,Leagues Cup,4,4,Draw,36,Inter Miami CF,FC Dallas,Away,Tied,0,1,6,First half
812,2023-08-02,Inter Miami CF,Orlando City,72,Field goal,Right foot,10,NAM,Leagues Cup,3,1,Home,36,Inter Miami CF,Orlando City,Home,Won,3,1,72,Second half
811,2023-08-02,Inter Miami CF,Orlando City,7,Field goal,Left foot,10,NAM,Leagues Cup,3,1,Home,36,Inter Miami CF,Orlando City,Home,Won,1,0,7,First half
810,2023-07-25,Inter Miami CF,Atlanta United FC,22,Field goal,Right foot,10,NAM,Leagues Cup,4,0,Home,36,Inter Miami CF,Atlanta United FC,Home,Won,2,0,22,First half
809,2023-07-25,Inter Miami CF,Atlanta United FC,8,Rebound,Right foot,10,NAM,Leagues Cup,4,0,Home,36,Inter Miami CF,Atlanta United FC,Home,Won,1,0,8,First half
808,2023-07-22,Cruz Azul,Inter Miami CF,90+4,Free kick,Left foot,10,NAM,Leagues Cup,1,2,Away,36,Inter Miami CF,Cruz Azul,Away,Won,1,2,94,Additional time
807,2023-06-15,Argentina,Australia,2,Field goal,Left foot,10,FRN,International friendly,2,0,Home,35,Argentina,Australia,Home,Won,1,0,2,First half
806,2023-05-27,RC Strasbourg Alsace,Paris Saint-Germain,59,Field goal,Left foot,30,PRM,Ligue 1,1,1,Draw,35,Paris Saint-Germain,RC Strasbourg Alsace,Away,Tied,0,1,59,Second half
805,2023-04-15,Paris Saint-Germain,RC Lens,40,Field goal,Left foot,30,PRM,Ligue 1,3,1,Home,35,Paris Saint-Germain,RC Lens,Home,Won,3,0,40,First half
